Date, Open, High, Low, Close
2021-12-10, 7321.26, 7331.58, 7284.82, 7291.78
2021-12-09, 7337.05, 7366.10, 7302.96, 7321.26
2021-12-08, 7339.90, 7378.92, 7333.56, 7337.05
2021-12-07, 7232.28, 7344.69, 7232.28, 7339.90
2021-12-06, 7122.32, 7246.25, 7122.32, 7232.28
2021-12-03, 7129.21, 7196.05, 7105.29, 7122.32
2021-12-02, 7168.68, 7168.68, 7083.21, 7129.21
2021-12-01, 7059.45, 7182.01, 7059.35, 7168.68
2021-11-30, 7109.95, 7109.95, 6989.66, 7059.45
2021-11-29, 7044.03, 7161.91, 7044.03, 7109.95
2021-11-26, 7310.37, 7310.37, 7042.12, 7044.03
2021-11-25, 7286.32, 7311.94, 7286.32, 7310.37
2021-11-24, 7266.69, 7307.89, 7245.98, 7286.32
2021-11-23, 7255.46, 7293.07, 7204.37, 7266.69
2021-11-22, 7223.57, 7272.63, 7207.81, 7255.46
2021-11-19, 7255.96, 7289.51, 7198.76, 7223.57
2021-11-18, 7291.20, 7291.26, 7241.99, 7255.96
2021-11-17, 7326.97, 7326.97, 7289.98, 7291.20
2021-11-16, 7351.86, 7368.25, 7324.13, 7326.97
2021-11-15, 7347.91, 7363.48, 7324.11, 7351.86
2021-11-12, 7384.18, 7402.68, 7340.49, 7347.91
2021-11-11, 7340.15, 7394.41, 7329.68, 7384.18
2021-11-10, 7274.04, 7340.15, 7270.11, 7340.15
2021-11-09, 7300.40, 7314.13, 7268.79, 7274.04
2021-11-08, 7303.96, 7316.54, 7293.50, 7300.40
2021-11-05, 7279.91, 7331.25, 7270.03, 7303.96
2021-11-04, 7248.89, 7292.96, 7247.59, 7279.91
2021-11-03, 7274.81, 7277.64, 7235.32, 7248.89
2021-11-02, 7288.62, 7288.62, 7240.02, 7274.81
2021-11-01, 7237.57, 7303.39, 7237.57, 7288.62
2021-10-29, 7249.47, 7249.47, 7192.05, 7237.57
2021-10-28, 7253.27, 7257.85, 7219.71, 7249.47
2021-10-27, 7277.62, 7280.45, 7247.25, 7253.27
2021-10-26, 7222.82, 7281.17, 7222.82, 7277.62
2021-10-25, 7204.55, 7247.53, 7204.55, 7222.82
2021-10-22, 7190.30, 7235.19, 7190.30, 7204.55
2021-10-21, 7223.10, 7227.06, 7181.70, 7190.30
2021-10-20, 7217.53, 7229.26, 7199.29, 7223.10
2021-10-19, 7203.83, 7223.29, 7189.50, 7217.53
2021-10-18, 7234.03, 7234.03, 7180.20, 7203.83
2021-10-15, 7207.71, 7243.85, 7206.26, 7234.03
2021-10-14, 7141.82, 7216.15, 7141.82, 7207.71
2021-10-13, 7130.23, 7152.87, 7087.93, 7141.82
2021-10-12, 7146.85, 7146.85, 7063.43, 7130.23
2021-10-11, 7095.55, 7146.85, 7085.85, 7146.85
2021-10-08, 7078.04, 7109.34, 7070.53, 7095.55
2021-10-07, 6995.87, 7094.93, 6995.87, 7078.04
2021-10-06, 7077.10, 7077.10, 6945.50, 6995.87
2021-10-05, 7011.01, 7084.52, 7011.01, 7077.10
2021-10-04, 7027.07, 7072.48, 7002.72, 7011.01
2021-10-01, 7086.42, 7086.42, 6989.64, 7027.07
2021-09-30, 7108.16, 7159.61, 7072.57, 7086.42
2021-09-29, 7028.10, 7117.52, 7026.85, 7108.16
2021-09-28, 7063.40, 7071.36, 7015.58, 7028.10
2021-09-27, 7051.48, 7122.09, 7043.21, 7063.40
2021-09-24, 7078.35, 7080.23, 7041.34, 7051.48
2021-09-23, 7083.37, 7131.43, 7070.68, 7078.35
2021-09-22, 6980.98, 7090.48, 6980.98, 7083.37
2021-09-21, 6903.91, 7004.88, 6903.91, 6980.98
2021-09-20, 6963.64, 6963.64, 6828.28, 6903.91
2021-09-17, 7027.48, 7092.69, 6941.69, 6963.64
2021-09-16, 7016.49, 7058.99, 7016.32, 7027.48
2021-09-15, 7034.06, 7047.27, 7016.49, 7016.49
2021-09-14, 7068.43, 7068.45, 7020.10, 7034.06
2021-09-13, 7029.20, 7090.81, 7029.20, 7068.43
2021-09-10, 7024.21, 7055.22, 7014.42, 7029.20
2021-09-09, 7095.53, 7095.53, 6998.62, 7024.21
2021-09-08, 7149.37, 7149.37, 7061.13, 7095.53
2021-09-07, 7187.18, 7187.18, 7147.94, 7149.37
2021-09-06, 7138.35, 7195.62, 7138.35, 7187.18
2021-09-03, 7163.90, 7182.23, 7123.87, 7138.35
2021-09-02, 7149.84, 7168.78, 7129.71, 7163.90
2021-09-01, 7119.70, 7187.34, 7119.70, 7149.84
2021-08-31, 7148.01, 7160.49, 7092.03, 7119.70
2021-08-27, 7124.98, 7157.60, 7108.53, 7148.01
2021-08-26, 7150.12, 7150.12, 7095.43, 7124.98
2021-08-25, 7125.78, 7151.75, 7121.29, 7150.12
2021-08-24, 7109.02, 7129.66, 7076.06, 7125.78
2021-08-23, 7087.90, 7147.80, 7087.90, 7109.02
2021-08-20, 7058.86, 7095.61, 7032.45, 7087.90
2021-08-19, 7169.32, 7169.32, 6993.06, 7058.86
2021-08-18, 7181.11, 7198.79, 7143.55, 7169.32
2021-08-17, 7153.98, 7188.55, 7118.67, 7181.11
2021-08-16, 7218.71, 7218.71, 7117.78, 7153.98
2021-08-13, 7193.23, 7224.46, 7193.13, 7218.71
2021-08-12, 7220.14, 7220.70, 7182.92, 7193.23
2021-08-11, 7161.04, 7220.14, 7157.74, 7220.14
2021-08-10, 7132.30, 7166.67, 7115.87, 7161.04
2021-08-09, 7122.95, 7138.80, 7089.74, 7132.30
2021-08-06, 7120.43, 7135.39, 7103.71, 7122.95
2021-08-05, 7123.86, 7130.35, 7099.03, 7120.43
2021-08-04, 7105.72, 7142.54, 7105.72, 7123.86
2021-08-03, 7081.72, 7119.19, 7074.32, 7105.72
2021-08-02, 7032.30, 7111.66, 7032.30, 7081.72
2021-07-30, 7078.42, 7078.42, 6996.93, 7032.30
2021-07-29, 7016.63, 7093.93, 7008.65, 7078.42
2021-07-28, 6996.08, 7023.35, 6974.80, 7016.63
2021-07-27, 7025.43, 7028.37, 6929.64, 6996.08
2021-07-26, 7027.58, 7038.65, 6980.67, 7025.43
2021-07-23, 6968.30, 7033.27, 6968.30, 7027.58
2021-07-22, 6998.28, 7018.95, 6956.24, 6968.30
2021-07-21, 6881.13, 7007.75, 6881.13, 6998.28
2021-07-20, 6844.39, 6929.89, 6827.26, 6881.13
